Name of City,temp,humidity,temp_min,temp_max,pressure,lon,lat,sys,country,name,weather,description,Status
Mumbai,28.99,84,27.94,28.99,1008,72.8479,19.0144,"{'type': 1, 'id': 9052, 'country': 'IN', 'sunrise': 1691282815, 'sunset': 1691329332}",,Mumbai,Haze,haze,Success
Delhi,34.05,62,34.05,34.05,999,77.2167,28.6667,"{'type': 1, 'id': 9165, 'country': 'IN', 'sunrise': 1691280898, 'sunset': 1691329153}",,Delhi,Haze,haze,Success
Bengaluru,29.3,57,27.7,31.8,1013,77.6033,12.9762,"{'type': 2, 'id': 2017753, 'country': 'IN', 'sunrise': 1691282158, 'sunset': 1691327707}",,Bengaluru,Clouds,scattered clouds,Success
Ahmedabad,32.02,62,32.02,32.02,1003,72.6167,23.0333,"{'type': 1, 'id': 9049, 'country': 'IN', 'sunrise': 1691282526, 'sunset': 1691329732}",,Ahmedabad,Haze,haze,Success
Hyderabad,30.23,58,30.23,30.73,1009,78.4744,17.3753,"{'type': 1, 'id': 9214, 'country': 'IN', 'sunrise': 1691281599, 'sunset': 1691327847}",,Hyderabad,Drizzle,light intensity drizzle,Success
Chennai,37.99,44,37.99,37.99,1005,80.2785,13.0878,"{'type': 1, 'id': 9218, 'country': 'IN', 'sunrise': 1691281507, 'sunset': 1691327073}",,Chennai,Clouds,few clouds,Success
Kolkata,28.97,84,28.97,28.97,999,88.3697,22.5697,"{'type': 1, 'id': 9114, 'country': 'IN', 'sunrise': 1691278785, 'sunset': 1691325912}",,Kolkata,Haze,haze,Success
Pune,27.3,65,27.3,27.3,1008,73.8553,18.5196,"{'type': 2, 'id': 2083365, 'country': 'IN', 'sunrise': 1691282614, 'sunset': 1691329049}",,Pune,Clouds,overcast clouds,Success
Jaipur,31.62,66,31.62,31.62,1002,75.8167,26.9167,"{'type': 1, 'id': 9170, 'country': 'IN', 'sunrise': 1691281403, 'sunset': 1691329319}",,Jaipur,Haze,haze,Success
Surat,29.99,79,29.99,29.99,1006,72.8333,21.1667,"{'type': 1, 'id': 9071, 'country': 'IN', 'sunrise': 1691282637, 'sunset': 1691329517}",,Surat,Clouds,overcast clouds,Success
Lucknow,28.99,89,28.99,28.99,998,80.9167,26.85,"{'type': 1, 'id': 9176, 'country': 'IN', 'sunrise': 1691280185, 'sunset': 1691328090}",,Lucknow,Thunderstorm,thunderstorm with light rain,Success
Kanpur,32.4,63,32.4,32.4,997,80.35,26.4667,"{'country': 'IN', 'sunrise': 1691280357, 'sunset': 1691328189}",,Kanpur,Rain,moderate rain,Success
Nagpur,31.01,74,31.01,31.01,1005,79.1,21.15,"{'type': 1, 'id': 9069, 'country': 'IN', 'sunrise': 1691281134, 'sunset': 1691328012}",,Nagpur,Haze,haze,Success
Patna,31.96,94,31.96,31.96,996,85.1167,25.6,"{'type': 1, 'id': 9129, 'country': 'IN', 'sunrise': 1691279293, 'sunset': 1691326965}",,Patna,Clouds,overcast clouds,Success
Indore,27.1,78,27.1,27.1,1007,75.8333,22.7179,"{'type': 1, 'id': 9067, 'country': 'IN', 'sunrise': 1691281782, 'sunset': 1691328932}",,Indore,Clouds,broken clouds,Success
Thane,28.95,84,27.9,28.95,1008,72.9667,19.2,"{'type': 1, 'id': 9052, 'country': 'IN', 'sunrise': 1691282771, 'sunset': 1691329319}",,Thāne,Haze,haze,Success
Bhopal,26.13,83,26.13,26.13,1005,77.4,23.2667,"{'type': 1, 'id': 9063, 'country': 'IN', 'sunrise': 1691281357, 'sunset': 1691328605}",,Bhopal,Haze,haze,Success
